customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6551-GNYDG,0,0,1,1,14,1,0,2,0,0,0,0,0,1,0,1,2,80.9,1152.8,0
9167-APMXZ,0,0,0,0,22,1,1,2,0,0,0,0,1,0,0,1,2,84.15,1821.95,0
2749-CTKAJ,1,0,1,1,22,1,0,0,2,2,2,2,2,2,1,0,1,20.15,419.9,0
6371-NZYEG,1,0,1,1,16,1,0,1,1,0,1,0,1,0,2,0,1,64.25,1024,0
7554-NEWDD,1,0,0,0,10,1,1,0,2,2,2,2,2,2,2,0,2,25.7,251.6,0
8992-VONJD,0,0,0,1,13,1,0,1,1,1,0,0,0,0,0,1,0,56,764.55,0
0867-MKZVY,0,0,1,0,20,1,1,2,1,0,0,0,0,0,0,0,0,82.4,1592.35,1
4482-EWFMI,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,69.7,135.2,0
4648-YPBTM,1,0,0,0,53,1,1,1,0,1,1,1,0,1,2,1,2,73.9,3958.25,0
2907-ILJBN,0,0,1,1,11,1,0,0,2,2,2,2,2,2,1,0,1,20.6,233.9,0
6345-FZOQH,1,0,1,0,69,1,0,0,2,2,2,2,2,2,2,0,1,19.9,1363.45,0
3376-BMGFE,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,2,70.9,273,1
5997-OPVFA,1,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,2,89.05,6254.45,0
3445-HXXGF,1,1,1,0,58,0,2,1,0,1,1,0,0,1,0,1,0,45.3,2651.2,1
1159-WFSGR,0,0,1,1,16,1,0,0,2,2,2,2,2,2,0,0,0,20.4,321.4,0
7654-YWJUF,1,0,1,0,43,1,0,2,1,0,1,1,0,0,1,1,2,84.25,3539.25,0
1875-QIVME,0,0,1,0,2,1,1,2,0,0,1,1,1,1,0,1,0,104.4,242.8,1
6727-IOTLZ,1,0,1,0,14,1,0,1,0,1,1,1,1,1,2,0,1,81.95,1181.75,0
0691-JVSYA,0,0,1,0,53,1,0,2,0,0,1,0,1,1,1,1,2,94.85,5000.2,1
5918-VUKWP,0,0,0,0,32,1,0,0,2,2,2,2,2,2,1,0,2,20.55,654.55,0
1744-JHKYS,0,0,1,0,34,1,1,0,2,2,2,2,2,2,0,0,0,24.7,780.2,0
2656-FMOKZ,0,1,0,0,15,1,1,2,0,0,0,0,0,0,0,1,1,74.45,1145.7,1
2070-FNEXE,0,1,0,0,7,1,0,2,1,0,0,0,0,0,0,0,2,76.45,503.6,1
5947-SGKCL,0,0,1,1,15,1,1,2,0,1,1,0,1,1,0,1,2,105.35,1559.25,0
3712-PKXZA,1,0,1,0,61,1,0,0,2,2,2,2,2,2,1,1,3,20.55,1252,0
6317-YPKDH,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,29.95,29.95,1
6582-OIVSP,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,45.3,45.3,0
9367-WXLCH,1,0,0,0,8,1,1,2,0,0,0,0,0,1,0,0,2,84.5,662.65,1
5524-KHNJP,1,0,1,1,33,1,0,1,1,0,1,0,1,1,1,0,3,74.75,2453.3,0
1918-ZBFQJ,0,0,0,0,13,1,0,2,0,1,1,0,0,0,0,1,0,79.25,1111.65,1
1024-GUALD,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,24.8,24.8,1
4827-USJHP,1,0,0,0,20,1,0,1,0,1,0,0,0,0,0,1,1,51.8,1023.85,0
8167-GJLRN,1,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,30.4,82.15,0
0956-SYCWG,0,0,0,0,13,1,0,0,2,2,2,2,2,2,1,0,0,19.65,244.8,0
8017-UVSZU,0,0,1,0,40,1,1,1,0,1,0,0,0,0,0,0,3,56.6,2379.1,0
7100-FQPRV,1,0,1,1,43,1,1,1,1,0,0,1,0,1,1,1,3,71.9,3173.35,0
2472-OVKUP,1,0,1,0,6,1,0,2,0,1,1,0,0,1,0,1,0,91,531,1
2984-RGEYA,0,0,1,1,69,1,0,0,2,2,2,2,2,2,2,0,2,19.75,1375.4,0
9680-NIAUV,0,0,1,1,72,1,1,2,1,1,1,0,1,1,2,0,3,109.7,8129.3,0
2146-EGVDT,1,0,1,1,59,1,0,0,2,2,2,2,2,2,2,0,3,19.3,1192.7,0
2604-IJPDU,0,0,1,0,20,1,0,2,1,1,0,1,1,0,0,1,0,96.55,1901.65,0
9178-JHUVJ,1,0,1,1,24,1,1,0,2,2,2,2,2,2,2,1,2,24.1,587.4,0
6168-YBYNP,1,0,0,0,59,1,1,2,0,1,1,1,1,1,0,1,0,111.35,6519.75,0
7255-SSFBC,1,0,1,1,72,1,1,2,0,1,1,1,1,1,2,1,2,112.25,8041.65,0
3645-DEYGF,1,0,0,1,1,1,0,0,2,2,2,2,2,2,0,0,1,20.75,20.75,0
9323-HGFWY,0,0,1,0,27,1,0,2,1,0,0,1,1,1,1,1,3,101.9,2681.15,0
8544-GOQSH,0,0,0,0,14,1,0,2,0,1,0,1,0,0,0,1,3,80.05,1112.3,0
3363-DTIVD,1,0,1,1,71,1,1,2,1,0,1,0,1,1,2,0,0,105.55,7405.5,0
7018-WBJNK,1,0,0,1,13,1,0,2,0,0,0,0,1,0,0,1,3,78.3,1033.95,0
9142-KZXOP,1,0,0,0,44,1,0,2,0,0,0,0,0,0,0,0,3,68.85,2958.95,0
7674-YTAFD,0,0,0,0,33,1,0,2,0,1,0,1,0,0,1,1,2,79.95,2684.85,0
6348-SNFUS,1,0,1,1,72,0,2,1,1,1,1,1,0,1,2,1,3,55.45,4179.2,0
1285-OKIPP,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,79.9,79.9,1
7825-ECJRF,0,0,0,0,19,1,0,2,1,0,1,1,1,1,0,1,0,106.6,1934.45,1
1347-KTTTA,1,0,1,0,64,1,0,2,0,1,1,1,1,1,1,1,3,102.45,6654.1,0
7841-TZDMQ,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,3,46,84.5,1
4195-NZGTA,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,25.25,25.25,0
7157-SMCFK,1,0,0,1,61,1,0,0,2,2,2,2,2,2,2,0,1,19.75,1124.2,0
4709-LKHYG,0,0,1,1,29,1,0,0,2,2,2,2,2,2,1,0,0,20,540.05,0
2504-DSHIH,1,1,1,0,23,1,1,2,0,0,0,0,0,1,0,0,0,86.8,1975.85,0
0699-NDKJM,0,0,1,0,57,0,2,1,1,1,1,0,1,1,0,1,2,58.75,3437.45,0
9286-BHDQG,1,0,1,1,72,0,2,1,1,1,1,1,0,0,2,0,3,45.25,3139.8,0
0230-WEQUW,1,0,1,0,66,0,2,1,1,1,1,1,1,0,2,1,2,56.6,3789.2,0
2040-LDIWQ,1,0,1,1,65,1,1,1,0,1,1,1,1,1,2,1,2,84.2,5324.5,0
6496-JDSSB,0,0,0,0,8,1,0,2,0,0,0,0,1,0,0,1,2,80,624.6,0
9408-SSNVZ,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,70.15,268.35,1
4443-EMBNA,0,0,1,0,71,1,1,0,2,2,2,2,2,2,2,0,2,24.75,1836.9,0
6469-MRVET,1,0,1,1,1,1,0,0,2,2,2,2,2,2,1,1,0,20.2,20.2,0
0742-MOABM,1,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,1,50.05,179.35,1
5961-VUSRV,0,0,0,0,12,1,0,0,2,2,2,2,2,2,1,1,2,19.35,219.35,0
6778-JFCMK,1,0,0,0,24,0,2,1,1,0,0,0,1,1,1,1,1,50.6,1288.75,0
6341-JVQGF,0,0,1,1,31,1,0,1,1,0,1,1,1,1,1,1,1,81.15,2545.75,0
2232-DMLXU,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,55.2,55.2,1
4811-JBUVU,1,0,0,0,30,1,1,2,0,0,0,1,0,1,0,1,3,89.9,2723.15,0
0945-TSONX,0,0,1,1,47,1,1,1,1,1,0,1,1,1,2,1,3,85.3,4107.25,0
2651-ZCBXV,1,0,0,0,54,1,1,2,1,1,0,1,1,1,2,1,3,108,5760.65,0
3316-UWXUY,1,0,0,0,50,1,0,2,1,1,0,1,0,1,0,1,3,93.5,4747.5,0
8937-RDTHP,1,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,1,84.6,84.6,1
7083-MIOPC,0,0,0,0,72,1,0,0,2,2,2,2,2,2,2,0,3,20.25,1566.9,0
1984-GPTEH,0,0,0,0,29,1,1,0,2,2,2,2,2,2,0,0,0,25.15,702,0
1251-KRREG,1,0,0,0,2,1,1,1,0,1,0,0,0,0,0,1,1,54.4,114.1,1
0621-JFHOL,0,0,0,0,10,0,2,1,0,0,0,1,0,0,2,1,1,29.6,299.05,0
9903-LYSAB,1,0,1,0,18,1,1,2,0,0,0,0,0,0,0,1,0,73.15,1305.95,0
0094-OIFMO,0,1,0,0,11,1,0,2,0,1,0,0,1,1,0,1,0,95,1120.3,1
9227-UAQFT,1,0,0,0,16,1,0,0,2,2,2,2,2,2,2,0,1,19.75,284.35,0
7301-ABVAD,0,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,2,86.6,6350.5,0
6614-FHDBO,1,0,0,0,72,1,1,2,0,1,1,1,1,1,2,0,2,109.2,7878.3,0
7576-ASEJU,0,0,1,1,41,1,0,1,1,0,0,1,1,1,1,1,3,74.7,3187.65,0
9058-HRZSV,0,1,1,0,65,1,0,2,1,1,1,0,0,1,0,0,0,94.4,6126.15,0
4522-AKYLR,0,1,0,0,13,1,0,1,0,1,1,0,0,0,0,1,0,54.8,731.3,0
0221-WMXNQ,1,1,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,75.35,273.4,0
0303-UNCIP,1,0,0,0,41,1,1,1,0,0,1,0,0,1,1,0,1,65,2531.8,0
9947-OTFQU,1,1,0,0,15,1,0,2,0,1,0,0,0,0,0,1,0,74.4,1074.3,1
0322-YINQP,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,48.55,48.55,1
0959-WHOKV,1,0,0,0,42,1,1,2,1,1,1,0,0,1,1,1,0,99,4298.45,0
4075-JFPGR,0,0,1,0,51,1,0,2,1,1,1,0,1,0,1,1,0,93.5,4619.55,0
4629-NRXKX,0,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,70.4,147.15,1
9514-JDSKI,1,1,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0,40.2,40.2,1
3282-ZISZV,1,0,0,1,32,1,1,1,0,1,1,1,1,1,1,0,3,83.7,2633.3,0
3675-YDUPJ,1,0,0,0,10,1,0,0,2,2,2,2,2,2,0,1,1,19.85,193.05,0
4111-BNXIF,0,0,1,1,67,0,2,1,0,1,1,1,1,1,2,1,0,59.55,4103.9,0
